	afr_Latn	amh_Ethi	arb_Arab	azj_Latn	bel_Cyrl	ben_Beng	bul_Cyrl	cat_Latn	ceb_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ekk_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fin_Latn	fra_Latn	gla_Latn	gle_Latn	glg_Latn	guj_Gujr	hat_Latn	hau_Latn	heb_Hebr	hin_Deva	hun_Latn	hye_Armn	ibo_Latn	ind_Latn	isl_Latn	ita_Latn	jav_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lit_Latn	ltz_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mlt_Latn	mri_Latn	mya_Mymr	nld_Latn	nya_Latn	pan_Guru	pes_Arab	plt_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	sin_Sinh	slk_Latn	slv_Latn	smo_Latn	sna_Latn	snd_Arab	som_Latn	sot_Latn	spa_Latn	srp_Cyrl	sun_Latn	swe_Latn	swh_Latn	tam_Taml	tel_Telu	tgk_Cyrl	tha_Thai	tur_Latn	ukr_Cyrl	urd_Arab	uzn_Latn	vie_Latn	xho_Latn	ydd_Hebr	yor_Latn	zsm_Latn	zul_Latn
afr_Latn		0.7395686517000001	0.7552154957799996	0.7873457483199998	0.82064480184	0.7797817727400002	0.7993689938800004	0.7959688478000002	0.7944349537199995	0.8036621365600007	0.7359948203399997	0.7419456012000006	0.7398778638400004	0.8334097419399997	0.8360654360200004	0.81534757628	0.7709683216399997	0.757356415152	0.8175011173600009	0.804997373040001	0.7948929441199993	0.7682508543200004	0.73317943028	0.7675320614199999	0.7588215706200008	0.7899106106600005	0.8024042382600001	0.7586464909000002	0.7635919610200004	0.7869629270199993	0.7789098717399998	0.7769173784599994	0.5821862510540003	0.7879036764599997	0.7823142863800006	0.7450836859880005	0.7786120528800011	0.7582413418800003	0.7682651152600007	0.7487956989600001	0.7759125728599998	0.6873264050720006	0.7667523881200007	0.7547731738199995	0.7445571072800001	0.8045141744800001	0.8414141462599999	0.7617007306080001	0.7655072755280002	0.8100338248400002	0.7866783176400013	0.6707599852799997	0.6885119145200004	0.8758903532799995	0.7454572076999999	0.7846946118999996	0.7724100618799995	0.7913986571599996	0.8028044839399998	0.7376970686399995	0.797175722200001	0.7920861860200001	0.7788824598600003	0.8115730744599998	0.8292092166199996	0.6270409532200001	0.75261101196	0.7184347585000005	0.7718427103600007	0.7610363686400005	0.7826938865399997	0.8080912695200005	0.7894129725760005	0.8154829438800004	0.7726092687999994	0.7658472550799993	0.7681531688599987	0.78734899574	0.7086388880586004	0.7994036839000004	0.80919562048	0.7758915130199993	0.7854044011598006	0.7061580477199999	0.75916284508	0.7600348757599995	0.5361696859519999	0.7805561926919996	0.7702997539719999
amh_Ethi	0.7395686517000001		0.7697349125599997	0.7963697462200006	0.7665473909799996	0.8227157411799991	0.7641933280799995	0.7077021189400003	0.7058610898399998	0.7637467452000004	0.7715930669599993	0.7409859847600001	0.6685440609600004	0.7113736938999995	0.73026602655	0.7439990264799998	0.7548120786400003	0.62870245152	0.7388591639600001	0.7461818212200009	0.7465116972999998	0.6700602938199999	0.6672002849599998	0.7192820186600005	0.6699980461739996	0.8310635085600011	0.7379765403799995	0.7159732051400006	0.7667265212600002	0.7936744352200001	0.7154630577599994	0.7925772710199984	0.5434624690242003	0.7048982052200002	0.7319968373200005	0.6606744259400004	0.7094496336400001	0.7708401079399992	0.8114096176800002	0.792109382700001	0.7617652411399998	0.729687131235	0.76030621078	0.7569994876599997	0.7715561789800003	0.7570261766199993	0.7563434752000007	0.7987889389999996	0.7934042096200009	0.7628115038800001	0.7454897465200001	0.5839279368660002	0.7782700300799994	0.7183475526800004	0.7214251070399996	0.8352939080200009	0.7307946555400001	0.7420560354999997	0.7494485654800006	0.6424590509199996	0.7424675867400008	0.7260418558000002	0.82353773104	0.7567482399000006	0.7595296865600002	0.5448569375199998	0.7358352051400003	0.7239045891800003	0.7509853542599997	0.6840719065000003	0.6929273468500007	0.7571615406599997	0.7252493439799994	0.7114390464599997	0.7567962000400008	0.7916097118799995	0.8071003853599997	0.7595000251799998	0.7455741420600002	0.7804452971999993	0.7481504161999994	0.7927267307400007	0.7615135949000004	0.6912130073600006	0.7357902963399996	0.7828939419400001	0.5094157174180004	0.7066265817	0.7504560736999999
arb_Arab	0.7552154957799996	0.7697349125599997		0.7636009854799983	0.7644519675199999	0.7838089447200003	0.7806985053399997	0.7435535991200005	0.7186814730399996	0.7692803447800002	0.7154074381720003	0.7297607625799999	0.6895409226599996	0.7508660766000002	0.7703123929600002	0.7424042238199997	0.7831301984600005	0.7095695714599998	0.7447438084400004	0.7312728509800002	0.75366630954	0.7419233491400001	0.6896808876600006	0.7286189281399997	0.7148663919680001	0.7720551602199999	0.7273205243799999	0.716936531699999	0.7890629613999997	0.7737112446199996	0.7446255723199992	0.7760851134399998	0.5886923153800003	0.751729904459999	0.7448891079000004	0.718154545564	0.7155420809799996	0.7411007036200001	0.75349241504	0.7714187038399999	0.7477479316400005	0.7139413110399995	0.7295487131700005	0.76734437306	0.7327834071599995	0.7361508780800001	0.7508705388999997	0.74557962898	0.7399143282199997	0.7611626619399994	0.732546307660001	0.6226993691199999	0.7357679855999992	0.7527149088599998	0.7034278984200006	0.7818375843000002	0.7741316003400003	0.75110029652	0.7697862315200009	0.7120540217939996	0.7725603750800006	0.7766623853799995	0.76209071758	0.7647206454800006	0.7491781975199996	0.60300974862	0.694077686992	0.7112528833399998	0.7123393963799997	0.6927806758320001	0.7406033778999996	0.76144803724	0.73773332466	0.7594915303599996	0.7477910192999995	0.745649364	0.75942755672	0.7442880902000003	0.7350842478000003	0.7559134769999998	0.7812218842200003	0.7705909383199999	0.7330314034999993	0.7041986928399996	0.7270318986600002	0.7536656651400001	0.5133743507960001	0.7518718767599998	0.7306350226799995
azj_Latn	0.7873457483199998	0.7963697462200006	0.7636009854799983		0.8026707338399999	0.8212989153599992	0.8079715734	0.7516852054000004	0.7436807176799998	0.8146801603999997	0.7662843991	0.7649027769799995	0.7005604438400002	0.77249426238	0.7887510684399994	0.8019276993800001	0.77094978844	0.6685760266639997	0.7892780244999998	0.8028074423599998	0.8037111055000004	0.7004572059100006	0.6766755439599994	0.728551543332	0.7053286348799994	0.8173569448000011	0.7552926304600004	0.7434562958799997	0.7601949906600007	0.7983026357799996	0.7740549096000006	0.8157953599600007	0.5237070416340002	0.7634763292400001	0.7759258313599999	0.687714631749999	0.73724138068	0.7785168093599996	0.8198147817399993	0.80109229686	0.8311497093799997	0.7168305570999999	0.8205286046199994	0.7583380689100008	0.7787358448200004	0.8185833226800001	0.7924251745000006	0.80898796966	0.8079226710600007	0.8049692765400003	0.7699657769000003	0.5832253165799994	0.7414490758200001	0.7749130387399994	0.7198455915199996	0.8118223251200007	0.7444107698200008	0.7647915003799999	0.7993737120000015	0.6767718305559993	0.7811500473599994	0.7747439528200002	0.8193508349599995	0.8032613753599991	0.8121930315600001	0.5402448410700005	0.7439645621400003	0.6948111854600001	0.7734306799000008	0.6881225033799993	0.7400384700999996	0.7919515219200006	0.7587917711800004	0.7695906112799994	0.771129854360001	0.8087549865800007	0.7999247592600001	0.8152592727800009	0.7439727833200007	0.8711510942000006	0.7918138804840004	0.7846580727800004	0.8555218713799997	0.7000732526999996	0.7409801113399999	0.7673544653280002	0.4802247351139998	0.7703403000599998	0.7573821447200003
bel_Cyrl	0.82064480184	0.7665473909799996	0.7644519675199999	0.8026707338399999		0.800424588139999	0.8502309996400002	0.7892832650600002	0.7630234478200001	0.8282114220399995	0.748163321	0.7406280380999998	0.7072483507599997	0.7864512309800005	0.7998314881399995	0.8067962096199996	0.8084939944000004	0.6898795178959997	0.8102733611600001	0.8064324627000002	0.7884651277400003	0.7533134359600004	0.6982974615000002	0.7464186904400004	0.7501331837799998	0.8128196787800003	0.7687678435400006	0.73740560318	0.7780872450600004	0.8065228141800002	0.7813475173600002	0.8206498699199994	0.5730824347660003	0.7593628135319996	0.7644681740200003	0.7448237980400001	0.7360290011400008	0.761336600359999	0.7885185820400004	0.80011456856	0.8090595814400001	0.6904255043799996	0.8020266407999994	0.7730549648399998	0.7390047932800003	0.8245548151400002	0.7969412213600002	0.7716409363399999	0.7776137305799997	0.8497154400199999	0.7717148616600006	0.6408738778000002	0.71209723752	0.8102528111000004	0.7226030355179993	0.8006901890600003	0.7799419329120001	0.7780377393999994	0.8377681072800004	0.7294151620800005	0.798598679259999	0.8573199128599994	0.7940926152599997	0.8406218991000003	0.8369795386399997	0.6025198838300003	0.7271019406399999	0.7208373425000008	0.7579484741199998	0.7260668509399999	0.7802834037400008	0.8528117141599993	0.7536919454999996	0.7733375856199994	0.7654197522199999	0.7809417223400003	0.7868230191000005	0.8100025710800004	0.7037607153400002	0.7913401927399994	0.8759716443599993	0.7886123699000008	0.7905564458800003	0.7038253935399994	0.7453378585400001	0.7739644353999993	0.515859510688	0.7513583959200001	0.7519168462800001
ben_Beng	0.7797817727400002	0.8227157411799991	0.7838089447200003	0.8212989153599992	0.800424588139999		0.7979706644000001	0.73239570848	0.7351913499880002	0.7898997421200004	0.7576931487200004	0.8009426574599997	0.6472715632599995	0.7543001051399991	0.7825589092199995	0.7732023103800006	0.7988930993199996	0.6663499069919999	0.7745606913400006	0.7830836457400004	0.7755598703199991	0.7004331684999998	0.6426816009600006	0.70490636672	0.6835924703200004	0.8695214215000003	0.7437558463199998	0.7088898837199997	0.8006691485000004	0.8468060549199994	0.7563432414600001	0.8341861321800002	0.491393769436	0.7607022641200001	0.7423705176799998	0.6802827908739992	0.7201759504200004	0.8214839065	0.8599598815599996	0.8215977291400003	0.8144497628400005	0.7674782305659997	0.7800179559000001	0.7917496866200006	0.8155961471999995	0.7985433527799997	0.7586461674000009	0.8474777426399995	0.8349990650200008	0.7935659161400007	0.7289218029800005	0.5622771463020002	0.7789048681600007	0.7650625927000002	0.7041732599600005	0.8654538207600001	0.7886789719599996	0.7483133880199998	0.783275360499999	0.6669268767319999	0.75539268248	0.7773676999799998	0.8649715864200002	0.7845724302999996	0.7971726011199997	0.4980287078119996	0.7329437151000008	0.7063525312400004	0.7333988521000006	0.6715337958500002	0.7329719295999996	0.7823037594600001	0.7455641436119999	0.7487023348399998	0.7567194752599994	0.8503170272599996	0.8534725546999996	0.7858703902200004	0.7833664787000003	0.81600551478	0.7952333838399993	0.8287017083600002	0.7815538049599999	0.6922259221399996	0.7164802429600008	0.77942725228	0.42174625347200007	0.7580454769399996	0.7354730546400001
bul_Cyrl	0.7993689938800004	0.7641933280799995	0.7806985053399997	0.8079715734	0.8502309996400002	0.7979706644000001		0.796790756780001	0.7542705547599998	0.8415612879999999	0.7238338864999996	0.7555591196000004	0.6977321802799997	0.7943821989400002	0.8057353065599996	0.8013362451200009	0.8116818494400002	0.7239911296480003	0.8104589849599999	0.7891108346799993	0.7995891687999991	0.7532275178999996	0.6931604572599996	0.7394057394199997	0.7720039766400008	0.7869741635199999	0.7520549995799997	0.7424590164	0.7814725591799996	0.8074086350100002	0.7903800577999994	0.81354578908	0.5786996674199996	0.7812465832200002	0.7758097349199995	0.7724682819799994	0.7383041629	0.7510897389799995	0.7760823595999994	0.8091782539999992	0.7964132972400001	0.6927507761879999	0.7899071827999993	0.7722343270600001	0.7349424377599991	0.8194093943599993	0.7754000008000002	0.7589973262999998	0.7680578606999998	0.8953555380999993	0.7575872858800001	0.6495833371200003	0.7097603165599998	0.7969134285799994	0.72053945122	0.7894156083600002	0.7801788002400003	0.7718735118999993	0.8408680324600012	0.7622740647600003	0.8235503260399993	0.86882541328	0.7725011296199986	0.8396508230999988	0.8325351555200001	0.60731014671	0.724634106700001	0.7140323235800002	0.7477056775599995	0.7141453359199996	0.7988395589800007	0.8662486985999998	0.7490464043599996	0.7897687886199994	0.781223538734	0.7696118052600002	0.7690329617600004	0.7881443252199997	0.7101377945800005	0.7939388619799997	0.8568028914399993	0.79173600638	0.7803714125799995	0.7267828990800015	0.7276736442599995	0.7814821437200006	0.5187218879219999	0.7875841456599999	0.7383463383199999
cat_Latn	0.7959688478000002	0.7077021189400003	0.7435535991200005	0.7516852054000004	0.7892832650600002	0.73239570848	0.796790756780001		0.76778225536	0.7924780077400005	0.6792661600399995	0.6748140781000002	0.7476616061199998	0.8029782427199998	0.7819922398399998	0.7572943596399997	0.77423426956	0.7659175041199997	0.8035166394399993	0.7830615246600003	0.7492468834400006	0.8406922921200004	0.755387163520001	0.7791508198400006	0.8534938786999995	0.7335918841399994	0.786141660640001	0.7567695096800002	0.7567647069599998	0.7544435313000007	0.7817388038600007	0.751862860480001	0.6420281699200004	0.75971024162	0.7635268210200004	0.8318702334199997	0.7415487951599995	0.6887008143600009	0.6894605200800012	0.7290118997799999	0.7109216333400005	0.6506669256400004	0.7073581141600003	0.7248810924400001	0.667404112759999	0.7674025812400003	0.7804438414599998	0.6817268497400002	0.6849879307399996	0.8057675240799999	0.7874602579600002	0.6915455408200002	0.6589602768200006	0.8015314456999991	0.7164310299400002	0.7471696837399994	0.7641279406400002	0.7833870766799987	0.7938133055599996	0.8354674342000002	0.8246139735800011	0.7890108152399994	0.70423171644	0.7948458758200007	0.7811210626200003	0.6935903381999999	0.6956323008200002	0.7120956015399994	0.7360011279200003	0.7469795821220006	0.8730085286000003	0.7879160165399994	0.7481934444400006	0.8013663688399993	0.7477591075600004	0.6852847275199991	0.7014494616400001	0.7371545402600005	0.6368986522600002	0.7537269284600001	0.8068917268799993	0.7577190336799995	0.7448444069600001	0.7516978486200004	0.7312747699000003	0.7199111822399998	0.6018777530599992	0.7569588259000005	0.7274866415599995
ceb_Latn	0.7944349537199995	0.7058610898399998	0.7186814730399996	0.7436807176799998	0.7630234478200001	0.7351913499880002	0.7542705547599998	0.76778225536		0.7509920886400013	0.70614747372	0.6824448220799993	0.7526312244600006	0.754984798080001	0.7489660264800003	0.7516829545000014	0.7211341862799991	0.7186715250200004	0.7866933881999999	0.7770094978999998	0.7448973996999999	0.72083066259	0.7626108096599998	0.777286228580001	0.7403524919320001	0.7294307443500008	0.7952284124200006	0.7889517271199992	0.7185330684799989	0.7461884402599995	0.7384855473999993	0.7207145365400001	0.6477615056600002	0.7660978616800008	0.7348571747400002	0.7316376582399997	0.8019708186799998	0.6817382421000002	0.6966116199800003	0.7172939041799998	0.7200892288399996	0.6484747784880003	0.7325517925800005	0.7044754663199994	0.6863435460399999	0.7475096415200014	0.7846535619199995	0.6797269050599991	0.7273136242199996	0.7611541226600004	0.7923665351999997	0.7104934308800006	0.6540031324200003	0.7628899893199994	0.7818349483399993	0.7395620006599998	0.7226322332400004	0.8066413386800001	0.7642120796799996	0.7241633208799996	0.75896335456	0.7401591794799997	0.7065528249499989	0.7661305131	0.7659192583800002	0.6815575464880004	0.7647181149599996	0.7063265935799994	0.7787220005800001	0.7827282608800004	0.7563144290800001	0.7495409095000003	0.8059070782399997	0.758124774879999	0.7809658351600001	0.6892645703999996	0.7030265356219996	0.7549538299200009	0.6522056443399997	0.73746714654	0.7423133667600005	0.7260677118999991	0.7694392596199999	0.7162383234399998	0.7813985019799998	0.7387559523200004	0.6053584381800003	0.771917028779999	0.7813448345999997
ces_Latn	0.8036621365600007	0.7637467452000004	0.7692803447800002	0.8146801603999997	0.8282114220399995	0.7898997421200004	0.8415612879999999	0.7924780077400005	0.7509920886400013		0.7282732165199999	0.73245683728	0.7117381677800003	0.8001249181059996	0.8095382779399997	0.8049278142399994	0.7977352759400006	0.7172726858159991	0.805095915900001	0.7868583484399997	0.8009832096400008	0.7626467151519996	0.7026733068200005	0.75251757754	0.7631775783199992	0.7811636582600009	0.7693123269600013	0.7372718803199991	0.7765950489000006	0.7864947797599996	0.7981794571599998	0.8028433241000005	0.5785370935600005	0.7663499199000001	0.7892541015199998	0.7645544811799994	0.7392176879399995	0.7426675829000005	0.7686954130800002	0.7936968983999999	0.7734799085799995	0.6780530854800002	0.7487288574600002	0.7501724756999998	0.7254448442800004	0.8260069251200001	0.7924401586199993	0.7521263863800002	0.7504603541199995	0.8348884691199989	0.7564304528000003	0.6350477717600009	0.7008076645599994	0.8064549052000001	0.7234805145199996	0.7957437201800006	0.7591183021	0.7721421289599997	0.8588078334599992	0.7503023825419999	0.8186719052800001	0.8279478399599999	0.7690830784199999	0.9056224397599991	0.8540785364799993	0.5953617877365999	0.7167868394799999	0.6988197450200007	0.7443478486999995	0.7111359658199996	0.7885144901800004	0.8367160580200002	0.7583861212199999	0.7953801447000002	0.7695837667999998	0.75754029444	0.7662192126199994	0.7737855495399995	0.7001858644399995	0.8061495738199997	0.83614318158	0.7789370474799998	0.7812257428199996	0.7391758496800003	0.7248848296000011	0.7765941315400009	0.5249739897959996	0.7657247101799993	0.7338060317000006
