	afr_Latn	amh_Ethi	arb_Arab	asm_Beng	azj_Latn	bel_Cyrl	ben_Beng	bos_Latn	bul_Cyrl	cat_Latn	ces_Latn	ckb_Arab	cmn_Hani	cym_Latn	dan_Latn	deu_Latn	ekk_Latn	ell_Grek	eng_Latn	epo_Latn	eus_Latn	fin_Latn	fra_Latn	gaz_Latn	gla_Latn	gle_Latn	glg_Latn	guj_Gujr	hau_Latn	heb_Hebr	hin_Deva	hrv_Latn	hun_Latn	hye_Armn	ind_Latn	isl_Latn	ita_Latn	jav_Latn	jpn_Jpan	kan_Knda	kat_Geor	kaz_Cyrl	khm_Khmr	kir_Cyrl	kor_Hang	lao_Laoo	lit_Latn	mal_Mlym	mar_Deva	mkd_Cyrl	mya_Mymr	nld_Latn	ory_Orya	pan_Guru	pes_Arab	plt_Latn	pol_Latn	por_Latn	ron_Latn	rus_Cyrl	san_Deva	sin_Sinh	slk_Latn	slv_Latn	snd_Arab	som_Latn	spa_Latn	srp_Cyrl	sun_Latn	swe_Latn	swh_Latn	tam_Taml	tel_Telu	tgl_Latn	tha_Thai	tur_Latn	uig_Arab	ukr_Cyrl	urd_Arab	uzn_Latn	vie_Latn	xho_Latn	ydd_Hebr	zsm_Latn
afr_Latn		0.8941296436400001	0.9216984863599993	0.9044269131800002	0.9339534510400007	0.9392202991999997	0.90849560278	0.9493125212400005	0.9428202432800005	0.9515394055999999	0.9505299582199991	0.8838123490399992	0.9158770819200001	0.9435376832599998	0.9595877596000002	0.9604993870199998	0.95117047554	0.9283759011200002	0.9564992416800003	0.9532203939199997	0.9416059151399994	0.9419555362000002	0.9521130745799999	0.9172342761999988	0.932629335540001	0.9395824103199992	0.9507470414599993	0.905474760459999	0.9308806489400001	0.9249208720400002	0.9293160834000004	0.9484508389399989	0.9418252656599992	0.9227516771400001	0.9448968943800006	0.9513473751400009	0.9488579329400009	0.9387763343199995	0.9164558375399998	0.9029497771599998	0.9166814543599995	0.9247382159999998	0.8933976819599997	0.9254133668800005	0.9180724794199997	0.8911659312000005	0.9455975014399999	0.8969823251000013	0.9224003834800004	0.9460597612600009	0.8875620777400003	0.9717330847599998	0.8937774595799999	0.9151338032599997	0.9303617414800002	0.9268340861600007	0.9464035771399999	0.9496084893400003	0.9488598757199996	0.9389885063199996	0.9032881675399991	0.8960312003599993	0.9501074892600011	0.9525173407599996	0.9288322833999997	0.9368336148600004	0.9514442766599999	0.9444442219999997	0.9382227093400011	0.9563373722399994	0.9384927631199999	0.9003682251600003	0.9034595903599996	0.9460047309999996	0.9088962828000006	0.9363133932999997	0.9092877849599997	0.9411023693799992	0.9222814426400007	0.9339529649400002	0.9258181056200011	0.9110189067999993	0.9345735588800007	0.9454932327200004
amh_Ethi	0.8941296436400001		0.9204014729400004	0.9145092689600004	0.9126822331200001	0.9061043167199994	0.9315008423200001	0.8996886945199996	0.9059540115000002	0.8944899705399995	0.9031182420199997	0.8990474854200006	0.9076760877000003	0.8935283400600007	0.8939344698599994	0.8998961849000011	0.899569248060001	0.9265072887600005	0.8980919602400002	0.8951608463599998	0.9075373351800006	0.89951162018	0.8953921443799991	0.8705638773200001	0.879550250060001	0.8951474083399998	0.896682207799999	0.9350334664000001	0.8871728399199998	0.9242448149800004	0.92638562422	0.8995801606	0.9025514965200007	0.9381423903400002	0.8985392227199996	0.9011211837600005	0.8946913807799993	0.8823810543400005	0.9140445729400006	0.9346477879599997	0.9381560378600007	0.9155026674800011	0.9216517667000002	0.9088283495999999	0.914239695280001	0.9178345089200003	0.9036006663399996	0.9351264352399998	0.9190054642799999	0.9052440644200004	0.9263107946399997	0.8986271615199996	0.9331887350000004	0.9407529249200002	0.9183921993199999	0.8820393858400011	0.9044440521999996	0.89576684108	0.8998007330000002	0.9072201970000003	0.90531945512	0.9346302512399998	0.9020235753000003	0.8960596773199998	0.9241014446000002	0.9028738636199998	0.89940764806	0.9018500721000002	0.8815056679999996	0.8943164121	0.9045309310799999	0.9315863850400005	0.93719282424	0.89967457614	0.9135192670800008	0.9089090576000011	0.9266923153600005	0.90838541814	0.9202438738200005	0.9017472052	0.89052171926	0.8744732587000011	0.9083109522400001	0.8948796284799998
arb_Arab	0.9216984863599993	0.9204014729400004		0.9111152806600001	0.9195565324800006	0.9287071769599993	0.9228092072599995	0.9301350211799995	0.9363116889999996	0.9269386020800007	0.9311686852199996	0.9043945404000001	0.9235563287000007	0.9184897528200001	0.9259748790599999	0.9284701882800004	0.9215288903200006	0.9320150410000003	0.9279370394399998	0.9214376677200002	0.9197149952200001	0.9201205448599991	0.9287116452999999	0.8803503041599999	0.9061310226	0.9183241341399994	0.93077938492	0.9150684792400001	0.9090833568600004	0.9499321462199993	0.93633044134	0.9298440263199995	0.9244150878000009	0.9292694841999999	0.9282051502399998	0.926300550979999	0.9300887276999997	0.9095444738999997	0.9148556573599997	0.91517457966	0.9304861998599994	0.9159249832000004	0.9145913417600001	0.9116122606199994	0.9193171844600002	0.9090003347999994	0.9224081450599994	0.91317682698	0.9255652434000002	0.9341454364800007	0.8946389916199994	0.92443559776	0.9067339289200006	0.9180245121599999	0.9539961100800007	0.9018372928200006	0.9318109531000003	0.9340319091999999	0.9313177631199997	0.9342818268000005	0.9114461117399992	0.9102997785800009	0.9317423365599996	0.9285866051199997	0.9385124196599997	0.9119885470799998	0.9328836153200004	0.9314626405199997	0.9078066716399994	0.9254391325400002	0.9222684188199997	0.9125468095999993	0.9135983799199998	0.9174006453000005	0.9253077051600005	0.91653195754	0.9245558457800008	0.9318146815400004	0.937008398379999	0.9095610416999992	0.9196236192399999	0.8873629931999995	0.921825708579999	0.9246190123200003
asm_Beng	0.9044269131800002	0.9145092689600004	0.9111152806600001		0.9135609099399997	0.9201500244800002	0.9509960005400012	0.9074850694400001	0.9122080281999994	0.9040522416000003	0.9051814803800005	0.9139405835199992	0.8955421410400004	0.9087483844799994	0.8988332482200005	0.8965777914999996	0.9107454555999992	0.9084649992399999	0.8957321352000001	0.9061256558200005	0.9100566683399997	0.8979925831200006	0.8997691551600002	0.8961903734600002	0.9067240735200001	0.9090408701399999	0.8968601861799997	0.9352221614199997	0.8990535980399998	0.911511510779999	0.9342094682200001	0.9069938756199997	0.9026970100800005	0.9284602717800003	0.8908550725600006	0.9099267247199997	0.89948128696	0.8902051289399993	0.9019705978799999	0.9291057451199997	0.9248465986599999	0.9146786938800001	0.9141848591200001	0.9154320357999994	0.9102984054800003	0.9003024852200009	0.9046011128199998	0.9224107949200017	0.9316944961600002	0.9178010947400002	0.9221522361199999	0.89971192018	0.93391200414	0.9400247186799996	0.9076954158799998	0.9004045348399993	0.90341210986	0.8970346069399997	0.9024912731600009	0.9078844644000003	0.9321864482599999	0.9162251106600001	0.9035014597200003	0.9051581817199995	0.9310155338000002	0.9118718573200001	0.898742554239999	0.9146854087600002	0.8920989189199994	0.89607474464	0.9053912358999999	0.9251087334199998	0.9237485239600005	0.9066986030200004	0.9041908235199989	0.9033379467199996	0.924370829080001	0.9136069003999997	0.9284886466400002	0.9187122054399991	0.8903824440200001	0.8888647774400007	0.92662825262	0.8936356766999995
azj_Latn	0.9339534510400007	0.9126822331200001	0.9195565324800006	0.9135609099399997		0.9341510380999993	0.9288232368199998	0.9417090613399994	0.9376084264599999	0.9346526572200003	0.9411340716199997	0.8990677308000006	0.924721589160001	0.9248244106999991	0.9370261905799999	0.9371688586599989	0.9427318456200005	0.9295455174400001	0.9371561267600012	0.9342556469600001	0.9439857656200005	0.9386878390799999	0.9348458078599993	0.9009294708999999	0.9085743510800001	0.9236151531599996	0.9366530388199996	0.9245552050400001	0.9173443167600003	0.9261835450400006	0.9400569457000001	0.9414711660999995	0.9483226879600005	0.9405980545800002	0.9395160621000004	0.9353672171599998	0.934996089200001	0.9210947731400004	0.92838741996	0.9296714869199992	0.9363869829799986	0.9550821207399999	0.8979704482200009	0.9526053938600002	0.9329232517	0.9023162804199991	0.9436540082200002	0.9227628310400008	0.9360640545599999	0.9380062517800003	0.9033426615600004	0.9352827952999995	0.9178779276000008	0.9259358425199998	0.9352565971199994	0.9084230489200006	0.9423461187399996	0.93788377174	0.9404565674600002	0.93904470246	0.9068639595000001	0.9264089986999999	0.9411596871000005	0.9384085068799999	0.9344790151400001	0.9283002590799997	0.9382657080200002	0.9368188207600001	0.9197493324400007	0.935850811719999	0.9311847620600004	0.9273747875799994	0.9284385041400003	0.9306960582000005	0.9115870785600001	0.9666238113599996	0.9430007162600003	0.9391609688800002	0.9326086530400001	0.9528461937999995	0.9257013202799989	0.8962905513800008	0.9146848062799996	0.9397289756599996
bel_Cyrl	0.9392202991999997	0.9061043167199994	0.9287071769599993	0.9201500244800002	0.9341510380999993		0.9222571876599998	0.9516121059200007	0.9588941200400001	0.9438470157799996	0.9552102140599995	0.8938686958000006	0.9157868075199993	0.9317647577800006	0.9395619208200003	0.9389667978199999	0.9447318988199997	0.9392597231400001	0.9349715367000003	0.9427292585199998	0.9345595921600003	0.9377299513399993	0.9437175146999985	0.9015812655800002	0.9211298919999998	0.9294669878599991	0.9427207620800002	0.9178159051400004	0.91983381382	0.9321721051800002	0.9329601906399996	0.9509260851199993	0.9362923815399988	0.9385701669000004	0.929418389399999	0.9418635913600002	0.9437619603999997	0.9204462448199993	0.9148180366400006	0.9135636377599995	0.9306736338799994	0.9402934181600008	0.908215770280001	0.9399273898199998	0.9169294947	0.9009146812799997	0.9491382600600002	0.90755730656	0.9277397261399999	0.9599456654600002	0.8978842949999997	0.9378171369599999	0.9072205489200001	0.9252296057400003	0.9280856262400007	0.9198227152400003	0.9561918705399999	0.9412029544600002	0.9433120560199999	0.9668622878999993	0.9105663489799986	0.9067969890199988	0.9547741358999999	0.9514891132200004	0.9277784293200004	0.9253994871199991	0.9443982313399997	0.9615619501600001	0.9216611351399997	0.9369814269400002	0.9320189880199997	0.9103576234199998	0.912744396359999	0.9321480124599997	0.9136203304200009	0.9264150447999998	0.9191921797200008	0.9705914949800001	0.9227154776000001	0.9328097400399996	0.9209515736200004	0.9074623656000003	0.9306215339399995	0.9300116109600005
ben_Beng	0.90849560278	0.9315008423200001	0.9228092072599995	0.9509960005400012	0.9288232368199998	0.9222571876599998		0.9146087661799998	0.9219387677199998	0.907189012779999	0.9162220566799997	0.8986555662800004	0.9190084794599995	0.9023720444200001	0.9123275488799999	0.9133901937800003	0.9147632326800001	0.9232916416400003	0.914832627679999	0.9053133860600007	0.9164309156400006	0.9134461272600001	0.9103209604999991	0.8775388994999995	0.8875075654200002	0.9019427251200001	0.90837813706	0.9528771622000004	0.8919660202799982	0.9301972270800001	0.9541133583200005	0.9146363883200006	0.9188233830200004	0.9452977964200004	0.9127713889	0.9101700058599997	0.9090474993599996	0.8938232152600001	0.9236698878799996	0.9484769523200003	0.9434330643999999	0.9303469810599999	0.9275868895800005	0.9228765704399998	0.9332028978199998	0.9166971164600004	0.9145240774799992	0.9449827274999996	0.9430897947399997	0.9212815296800008	0.9254250576799996	0.9114055294399994	0.9509965182200009	0.9539504570999994	0.9290698612199999	0.8875421417000009	0.9154220757399999	0.9118821096600004	0.9120875393600003	0.9251743472399998	0.9266190118399996	0.9371422817000004	0.9146428249800012	0.9109226060399999	0.9332551109999995	0.9057295714399999	0.9117090115000002	0.9190409855200002	0.8923480354400001	0.9091150801800005	0.9089509312599994	0.9476595806399993	0.9455638271200006	0.9096949732199993	0.9244797999399998	0.9220678837399998	0.9301399091199998	0.9251024038200005	0.9367245652199998	0.9160247416999999	0.9105809067600004	0.8740618630600001	0.9143708959799995	0.9102835394800001
bos_Latn	0.9493125212400005	0.8996886945199996	0.9301350211799995	0.9074850694400001	0.9417090613399994	0.9516121059200007	0.9146087661799998		0.9595668193400007	0.9521974820200001	0.9649432459199996	0.8807120012200007	0.9229312939599996	0.9325476998399997	0.9536766684600007	0.9487371375999996	0.9512448846999999	0.93737882398	0.9507985314400006	0.9505102668599993	0.9429085431199996	0.9452444684400001	0.9498133639999998	0.9063123238799999	0.92013003646	0.9276162345800001	0.9530834402599997	0.9103469653000001	0.9287175559400006	0.9307299774399993	0.9328070297200003	0.9870878475	0.9444618312800003	0.9288105071399997	0.9461321267399992	0.9485342338199996	0.95462215292	0.9319304082199998	0.9192820947399991	0.9100658256199992	0.9254241357199999	0.9295535649999999	0.8951809176199994	0.9319199211400001	0.9212222613199991	0.8913566859000002	0.9556033819199999	0.9021755603999998	0.9226831998600004	0.9647890812799996	0.8857815113599997	0.9493513036999993	0.8990976985399995	0.9185125434000002	0.9320692763200006	0.9186691305599989	0.9624134391800011	0.9545009661599992	0.95747306534	0.9540432111399996	0.8992693499999995	0.9036431277800004	0.966654624580001	0.9739908037199998	0.9277221118599998	0.9325867738799993	0.9545338699800001	0.9744355811600001	0.9293527038399991	0.95248376092	0.9409784687599999	0.9046598685799995	0.9066072474600003	0.9388842671800001	0.9130252032000007	0.9424526905000008	0.9126191017399996	0.956045451979999	0.9245186538800002	0.9375529826399995	0.92578172128	0.9077173616399997	0.9226059019000006	0.94598585252
bul_Cyrl	0.9428202432800005	0.9059540115000002	0.9363116889999996	0.9122080281999994	0.9376084264599999	0.9588941200400001	0.9219387677199998	0.9595668193400007		0.9461689690199998	0.9527624404799999	0.8849835719999994	0.9268443305799997	0.9260584130200002	0.9508400487800001	0.943946202700001	0.9421256484999997	0.9431736189200007	0.9493304198399999	0.94123029716	0.9352804096400011	0.9376166786599992	0.9446277454399992	0.8956662473200002	0.9146551032399998	0.9247265164200003	0.9480799214199997	0.9157166583599994	0.9217298427599996	0.9374252780600006	0.9403656798599997	0.9588637107200003	0.9432999615800005	0.9381609972599999	0.9426287638799993	0.9424666575600005	0.9501673858399999	0.9234983150599995	0.9229318280600004	0.9140221901800001	0.9329915583999999	0.9429766403199988	0.9030818996399999	0.9427916252200004	0.9245585958799998	0.8994851388399991	0.9461896790000008	0.9098696068200004	0.9257361347600006	0.9760579091200005	0.89281998998	0.9446999390199993	0.9044550330399993	0.9243700590199988	0.9377285527400002	0.9098436636800005	0.9554929644600003	0.9515444654399999	0.9563340816400006	0.9694807421799996	0.9061859641600003	0.90814478918	0.9560062961200001	0.9574120877399999	0.9253473203200007	0.9245418071000002	0.9509013829600005	0.9684284345999988	0.9216387184600002	0.9501624127400001	0.9315492969	0.9124358366999988	0.9140721169400001	0.9352386055399999	0.9199442903399997	0.9344491857799996	0.9178525043	0.9660831618399999	0.9267948831600007	0.9295425777599992	0.9270573162999998	0.8981398733199997	0.9225489221200008	0.9392115222000003
cat_Latn	0.9515394055999999	0.8944899705399995	0.9269386020800007	0.9040522416000003	0.9346526572200003	0.9438470157799996	0.907189012779999	0.9521974820200001	0.9461689690199998		0.9504108588599998	0.8842011863200002	0.9142662605999996	0.9446540756799992	0.9538481699399994	0.9484268246200004	0.9449157346199989	0.9373725688599993	0.9546937347400002	0.9534602220600001	0.9484619395600006	0.93991209534	0.96798287134	0.9069580080399998	0.9306493799000011	0.93790681262	0.9733654899399999	0.9059223879399996	0.928415423359999	0.9300180044399997	0.9285563100400007	0.951521317020001	0.9440298797600003	0.9248252419199997	0.9432719462799996	0.9461122654399996	0.9656139344999999	0.9317637861800008	0.9128579824	0.9019582020200002	0.9184834086000004	0.9221266860799996	0.894939459599999	0.9238775451599999	0.9149459690399988	0.8913739285000007	0.9448479971799996	0.8942797701200002	0.9172692074400001	0.9487172829799994	0.8855199094000009	0.9527640664600004	0.8935636268200001	0.9144674093600004	0.9305815737599991	0.9257003858800005	0.9511997833200008	0.9693570092600003	0.9606594950999992	0.9422753918999995	0.8982170880400006	0.8954823608600005	0.9511688147399989	0.94918766542	0.9217496723199996	0.9280871086000011	0.9748508834399997	0.946146485740001	0.9313369150599995	0.9527602053399991	0.9391956445799992	0.8974456610600006	0.9007054897599994	0.94475799698	0.9082607644200001	0.9356826012199996	0.9070492387000008	0.9455898476199996	0.9180521662199999	0.9347046611000003	0.926276904419999	0.9112924236399995	0.9243914223599997	0.9420898489400005
